Chhattisgarhi,English,
"हेलो, कइसे हावय राज?","Hello, how are you, Raj?",
हरेली तिहार के गाढ़ गाड़ा बधाई मोर यार,"Hearty congratulations on Harelee Festival, my friend!",
हम दोनों की जिंदगी की उजाला तो त हस,You are the light of our lives.,
य दे छाया भी आगे ते बात कर ले,"Here, Chhaya has also came. You talk next.",
राज हेलो भैया पाव पर हो,"Raj, hello brother, touching your feet.",
भैया त अपन ख्याल रख हमर खून के रिश्ता तो नहीं है लेकिन म कन्या दान करके मां बाप की कमी पूरा कर दिए यस,"Yes brother, take care of yourself, we do not have a blood relationship but I have made up for the lack of parents by bestowing me.",
आ अरे मूरख ते अपन जिंदगी के बहुत बड़े गलती कर डरेस,"Come, fool, you have made the biggest mistake of your life",
मोला मारे बरते हमार गांव की टूरा मला प्रेम जाल में फसाया अब तोला जिंदा रहबर है ना,"My village girl trapped me in a love trap, now if you want to be alive",
देव सिंह चौधरी के नाम जपला पड़ी,Dev Singh Chaudhary's name had to be chanted,
नाम भगवान के जपे जाते देव सिंह शैतान के नहीं,"Name is chanted by God, Dev Singh  belongs to Satan ",
और  तोर औकात तो इंसान बनने लायक भी नहीं है,And you are not even capable of being human.,
मैं भगवान तो नहीं बन सक हूं फिर भी तोर पर काल जरूर बनू,"I cannot become God, but I must become your death.",
वीरेंद्र प्रताप जब तोर गांव के कोनो मर्द मोर कुछ नहीं न सकीस तते अपन गांव के आवारा टूरी मन के सहारा लेस,"When Virendra Pratap could not find anything for any man in his village, he resorted to stray girl of his village. ",
और मोर गांव क्रांति नगर के टूरा मला प्रेम जाल में फसा के मोला मारना चाहत रे,And boy of my village Kranti Nagar wants to kill me by trapping me in a love trap.,
ये तो षड्यंत्र पूरा नहीं हो सके,Your plan cannot be completed,
मोर क्रोध के ज्वाला में तोर सबो साम्राज्य जल के शमशान हो जाई,In the flames of my anger your entire empire will be burnt to ashes,
आ तोर चिता आगू,come your funeral pyre,
नाम देव सिंह चौधरी नहीं आज से त अपन नाम बदल ले कबर में जिंदा मैं नहीं त जलबे और,"Name Dev Singh Chaudhary No, change your name from today because not me but you are going to burn in grave",
सुन आसमान में बादल ग्रस थे तो गाज गिर थे,"Listen, the sky was cloudy and lightning struck",
और यहां धरती पर वीरेंद्र प्रताप ग्रस थे,And here on Earth Virendra Pratap thunders,
तो दुश्मन के लास्ट फिलहाल तो हमला य तय करना है कि यह,So at the last moment of the enemy's attack we have to decide whether this,
धरमपुर के विषत कन्याला कैसे मारना है,How to kill the poisen girl child of Dharampur,
जन गले में य हमार मौत के मंगल सूत्र बांधे बोला रे,The neck around which it has tied the mangalsutra of death,
क्तो के जन पेट में य हमार रांतिनगर के विनाश पलते,In whose stomachs lie the destruction of our Rantinagar,
य तहा नफरत और मोहब्बत ला मा डरी,This one will kill love with hatred,
